step,loss,perplexity,learning_rate
170,6.926554441452026,1018.9769792456991,0.00025499999999999996
171,6.854646787047386,948.2771264811165,0.0002565
172,7.277312353253365,1447.0935177436968,0.000258
173,6.90306194126606,995.3176587832268,0.00025949999999999997
174,6.731646582484245,838.5268334531426,0.000261
175,6.876313030719757,969.046918981164,0.0002625
176,6.729257225990295,836.5256855981414,0.00026399999999999997
177,6.740841954946518,846.272959683283,0.00026549999999999995
178,6.870589897036552,963.516773892993,0.000267
179,6.837180912494659,931.8584379101196,0.00026849999999999997
180,7.176301822066307,1308.0618568469004,0.00026999999999999995
181,6.5628005266189575,708.2523994901404,0.0002715
182,6.801042690873146,898.7839570682795,0.00027299999999999997
183,6.830522745847702,925.6745785669546,0.0002745
184,6.754549115896225,857.9528253752164,0.000276
185,7.033444747328758,1133.929992449612,0.00027749999999999997
186,6.787656486034393,886.8328195608499,0.00027899999999999995
187,6.7964236587285995,894.6420183178702,0.0002805
188,6.799214795231819,897.1425743858013,0.00028199999999999997
189,7.0081676840782166,1105.6267901898314,0.00028349999999999995
190,7.069446370005608,1175.4970636346231,0.000285
191,6.884216010570526,976.7356190594426,0.00028649999999999997
192,6.770754665136337,871.9696908770129,0.000288
193,6.812241077423096,908.9054536875512,0.0002895
194,6.876450821757317,969.1804541613385,0.00029099999999999997
195,7.09894572198391,1210.689997565068,0.0002925
196,6.832784876227379,927.7709453863935,0.000294
197,6.961405351758003,1055.1153239721448,0.00029549999999999997
198,6.98212593793869,1077.2060075624947,0.00029699999999999996
199,6.801791623234749,899.4573375865733,0.0002985
200,6.803743973374367,901.2151085790751,0.0002999999999999999
201,6.709019228816032,819.7662419424735,0.0002999999997728512
202,6.674511164426804,791.9602209080115,0.0002999999990914049
203,6.590629756450653,728.2393389430761,0.00029999999795566115
204,6.656576856970787,777.8835676257552,0.0002999999963656199
205,6.889204725623131,981.6204491264625,0.00029999999432128114
206,6.728091448545456,835.5510510357176,0.00029999999182264486
207,6.821068927645683,916.964655273092,0.00029999998886971117
208,6.663797095417976,783.52039760827,0.00029999998546247997
209,6.577247798442841,718.5589861868634,0.00029999998160095125
210,6.645000845193863,768.9306975272061,0.0002999999772851251
211,6.815475448966026,911.8499508541906,0.0002999999725150016
212,6.686025515198708,801.1318299196132,0.00029999996729058065
213,6.634102091193199,760.5958134402118,0.0002999999616118623
214,6.672937706112862,790.7150843562315,0.00029999995547884655
215,6.854361414909363,948.0065532189653,0.0002999999488915335
216,6.874078467488289,966.8839399232065,0.00029999994184992304
217,6.724270537495613,832.364576287103,0.0002999999343540153
218,6.709626168012619,820.2639412280708,0.00029999992640381023
219,6.871566206216812,964.4579235164306,0.000299999917999308
220,6.703043818473816,814.8824082489981,0.00029999990914050855
221,6.643136575818062,767.4985389551653,0.0002999998998274118
222,6.645588234066963,769.3824915395166,0.0002999998900600179
223,6.634364947676659,760.7957672594943,0.0002999998798383269
224,6.640720948576927,765.6467860497693,0.0002999998691623387
225,6.5648807138204575,709.727230497463,0.0002999998580320535
226,6.898374140262604,990.6627268853625,0.00029999984644747126
227,6.91921728849411,1011.5279500391568,0.00029999983440859204
228,6.638607636094093,764.0304436592047,0.00029999982191541584
229,6.933546245098114,1026.126430860157,0.0002999998089679428
230,6.785969316959381,885.3378441457506,0.00029999979556617285
231,6.916686296463013,1008.9710180106281,0.00029999978171010605
232,6.971786454319954,1066.1256350702545,0.0002999997673997425
233,6.764541864395142,866.5691106709426,0.0002999997526350823
234,6.780896902084351,880.858413664994,0.00029999973741612535
235,6.672651022672653,790.4884319259252,0.00029999972174287175
236,6.950859069824219,1044.0462516669254,0.0002999997056153216
237,6.67731699347496,794.1854462418869,0.00029999968903347493
238,6.661951526999474,782.0756906700118,0.0002999996719973318
239,6.974615633487701,1069.1461663044604,0.00029999965450689227
240,6.5762039721012115,717.8093267142871,0.0002999996365621564
241,6.788584589958191,887.6562746472764,0.0002999996181631243
242,6.719570517539978,828.4616253266305,0.0002999995993097959
243,6.759321674704552,862.0572421837552,0.0002999995800021714
244,6.676213666796684,793.3096834666076,0.0002999995602402507
